Name,Behavior,Top Speed,Body,Natural Habitat,Lifestyle
Barreleye Fish Barrel Eye,,,This animal has scales.Its body can be light and grey.,This animal's natural habitat is deep waters in the oceans.,It has a solitary lifestyle.
Barylambda,,,,This animal's natural habitat is swampy plains.,
Basenji Dog,,,"This animal has hair.Its body can be brindle, black, white, red, brown and tan.",,
Basenji Mix,,3.21868,This animal has fur.Its body can be multi-colored.,,
Basilisk Lizard,,24.1401,"This animal has scales.Its body can be black, yellow, green, red, blue and brown.",This animal's natural habitat is tropical rainforests.,
Basilosaurus,,,,,
Basking Shark,,,"This animal's skin is smooth.Its body can be black, brown and grey.",This animal's natural habitat is temperate waters along continental shelves.,
Bass,They usually live in schools and can be characterized as solitary.Their aggression level is medium.,,"This animal has scales.Its body can be gold, black, yellow, dark, green, light, white, olive, brown and grey.",This animal's natural habitat is freshwater and saltwater.,It has a school lifestyle.
Bassador,,,"This animal has hair.Its body can be tan, white and brown.",,
Basset Fauve De Bretagne,,,"This animal has hair.Its body can be fawn, blonde and red.",,
Basset Hound Mix,,,,,
Basset Hound,,,"This animal has hair.Its body can be black, white, red, brown and tan.",,
Bassetoodle,,,,,
Bat Eared Fox,They usually live in skulks. Their temperament can be characterized as social.Their aggression level is low.,51.49888,"This animal has fur.Its body can be tan, black, dark and grey.",This animal's natural habitat is african savanna/grassland.,"It has a social, diurnal and nocturnal lifestyle."
Bat,,40.2335,"This animal has fur.Its body can be black, brown and grey.",This animal's natural habitat is woodland and caves.,It has a pack lifestyle.
Batfish,,16.0934,"This animal's skin is rough.Its body can be black, white, red, brown and grey.",,
Bavarian Mountain Hound,,,"This animal has hair.Its body can be tan, black and brown.",,
Baya,,,,"This animal's natural habitat is grasslands, farmlands and and forests.",
Bea Tzu,,11.26538,This animal has fur.Its body can be white-brown.,This animal's natural habitat is domesticated.,It has a social and pack lifestyle.
Beabull,,24.1401,This animal has fur.Its body can be multi-colored.,This animal's natural habitat is domesticated.,It has a social and pack lifestyle.
Beagador,,,"This animal has hair.Its body can be black, yellow, chocolate, red, blue, brown and tan.",,
Beagle Mix,,,"This animal has fur.Its body can be tan, black, white and brown.",,It has a diurnal lifestyle.
Beagle Shepherd,,,"This animal has hair.Its body can be black, white, red, brown, tan and silver.",,
Beagle,,,"This animal has hair.Its body can be black, white, red, brown and tan.",,
Beaglier,,,"This animal has hair.Its body can be cream, black, white and brown.",,
Beago,,,"This animal has hair.Its body can be tan, cream, black and brown.",,
Bear,,56.3269,"This animal has fur.Its body can be black, white and brown.",This animal's natural habitat is forest and mountainous regions.,It has a solitary lifestyle.
Bearded Collie,,,"This animal has hair.Its body can be black, white, brown, tan and grey.",,
Bearded Dragon,,40.2335,"This animal has scales.Its body can be yellow, green, brown and grey.",This animal's natural habitat is arid forest and desert.,It has a solitary lifestyle.
Bearded Fireworm,,,"This animal has bristled hairs.Its body can be yellow, green, white, red and orange.","This animal's natural habitat is coral reefs, rocky areas, seagrass and muddy bottoms.",
Bearded Vulture,,64.3736,"This animal has feathers.Its body can be black, yellow, red, cream and grey.","This animal's natural habitat is rocky cliffs, shrublands and forests.",
Beaski,,,"This animal has hair.Its body can be brindle, black, fawn, white, red, brown, cream and grey.",,
Beauceron,,,This animal has hair.Its body can be multi-colored.,,
Beauty Rat Snake,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be black, yellow, olive and brown.",,"It has a diurnal, crepuscular and nocturnal lifestyle."
Beaver,,54.71756,This animal has fur.Its body can be red and brown.,This animal's natural habitat is freshwater ecosystems.,It has a solitary lifestyle.
Bed Bugs,,,,"This animal's natural habitat is beds, furniture, buildings and fabrics.",
Bedlington Terrier,,,"This animal has hair.Its body can be black, white, red, blue, brown and tan.",,
Bee Eater,,48.2802,This animal has feathers.Its body can be multi-colored.,"This animal's natural habitat is semi-open woodlands, shrublands, rainforests and and sub-deserts.",It has a diurnal lifestyle.
Bee,,32.1868,This animal has an exoskeleton.Its body can be multi-colored.,This animal's natural habitat is any habitat where there are flowering plants.,
Beefalo,,,"This animal has hair.Its body can be fawn, black and red.",This animal's natural habitat is farms.,
Beetle,,,"This animal has a shell.Its body can be black, yellow, green, red, blue and brown.",This animal's natural habitat is most land and freshwater habitats.,
Beewolf Wasp,They can be characterized as solitary except during mating season.Their aggression level is high.,,"This animal has an exoskeleton.Its body can be black, yellow, dark, black-brown and brown.",This animal's natural habitat is soil.,It has a diurnal lifestyle.
Belgian Canary,,,"This animal has feathers.Its body can be green, yellow, white and grey.",This animal's natural habitat is caged.,It has a diurnal lifestyle.
Belgian Laekenois,,46.220244799999996,"This animal has hair.Its body can be fawn, red and grey.",,It has a pack lifestyle.
Belgian Malinois Mix,,,"This animal has fur.Its body can be black, fawn, white, red, brown, cream and tan.",,It has a diurnal lifestyle.
Belgian Malinois,,,,,
Belgian Sheepdog,,,,,
Belgian Shepherd,,,"This animal has hair.Its body can be fawn, black and grey.",,
Belgian Tervuren,,,"This animal has hair.Its body can be fawn, black, cream and black-brown.",,
Belted Kingfisher,,,"This animal has feathers.Its body can be black, white, red, blue and grey.",,
Beluga Sturgeon 2,,,"This animal has skin.Its body can be dark, white, brown, blue and grey.","This animal's natural habitat is rivers, estuaries and and seas.",
Beluga Sturgeon,,,"This animal has skin.Its body can be dark, white, brown, blue and grey.","This animal's natural habitat is rivers, estuaries and and seas.",
Bengal Tiger,,96.5604,"This animal has fur.Its body can be orange, black and white.",This animal's natural habitat is dense tropical forest and mangroves.,It has a solitary lifestyle.
Bergamasco,,,"This animal has hair.Its body can be tan, black, brown and grey.",,
Berger Blanc Suisse,,,,,
Berger Picard,,,This animal has hair.Its body can be fawn and grey.,,
Bernedoodle,,,,,
Bernese Mountain Dog Mix,They can be characterized as social.Their aggression level is low.,,This animal has fur.Its body can be multi-colored.,,It has a diurnal lifestyle.
Bernese Mountain Dog,,,"This animal has hair.Its body can be tan, black and white.",,
Bernese Shepherd,,,"This animal has hair.Its body can be tan, black and white.",,
Bhutan Takin,They usually live in herds or groups.Their aggression level is low.,,"This animal has hair.Its body can be black, dark, red, light-brown and brown.",This animal's natural habitat is bamboo forests and mountains.,It has a diurnal lifestyle.
Bichir,,,"This animal has scales.Its body can be green, brown and grey.",This animal's natural habitat is rivers and lakes.,
Bichon Frise,,,This animal has hair.Its body can be white.,,
Bichpoo,,,"This animal has hair.Its body can be dark, white, cream, brown and grey.",,
Biewer Terrier,,,,,
Bigfin Reef Squid,They usually live in schools. Their temperament can be characterized as mild.Their aggression level is low.,,"This animal's skin is porous.Its body can be yellow, green, white, red, brown and pink.",This animal's natural habitat is coral reefs.,It has a school and sociable lifestyle.
Bighorn Sheep,,28.96812,"This animal has hair.Its body can be dark, grey-brown, white and brown.",This animal's natural habitat is mountainous grasslands.,
Bilby,,,This animal has fur.Its body can be blue and grey.,"This animal's natural habitat is desert, dry and semi-dry areas.",
Binturong,,24.1401,"This animal has fur.Its body can be black, brown and grey.",This animal's natural habitat is dense and moist tropical forest.,It has a crepuscular and nocturnal lifestyle.
Bird Snake,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be yellow, green, cream, brown and grey.",,It has a nocturnal lifestyle.
Bird,,321.868,"This animal has feathers.Its body can be black, yellow, white, red, orange, blue, brown, pink and grey.",This animal's natural habitat is forests and shrub land close to water.,
Birds Of Paradise,,,"This animal has feathers.Its body can be black, yellow, green, white, red, blue, brown and grey.",This animal's natural habitat is tropical forest tree tops.,It has a solitary lifestyle.
Birman,,,"This animal has hair.Its body can be black, chocolate, red, caramel, lilac and brown.",,
Biscuit Beetle,,,This animal has an exoskeleton.Its body can be tawny.,"This animal's natural habitat is homes, warehouses, factories and and anywhere with plant goods.",
